ReportingArea,Region,Year,Campylobacteriosis,"Cryptosporidiosis, Total","Lyme disease, Total","Dengue virus infections, Dengue",Malaria,Cyclosporiasis
Puerto Rico,OTHER,2018,38,NA,NA,4,NA,NA
U.S. Virgin Islands,OTHER,2018,NA,NA,NA,NA,NA,NA
New York,EAST,2018,4947,571,3638,28,265,147
United States,OTHER,2019,71509,13975,34945,1414,NA,4703
New England,OTHER,2019,3493,539,7152,63,NA,360
Connecticut,EAST,2019,734,80,1233,16,NA,103
Maine,EAST,2019,191,71,2167,1,NA,NA
Massachusetts,EAST,2019,1732,231,7,35,NA,211
New Hampshire,EAST,2019,302,65,1710,NA,NA,9
Rhode Island,EAST,2019,355,63,971,8,NA,31
Vermont,EAST,2019,179,29,1064,3,NA,6
Middle Atlantic,OTHER,2019,10132,1684,16860,249,NA,761
New Jersey,EAST,2019,1996,288,3619,69,NA,263
New York (excluding New York City),OTHER,2019,2488,486,3487,40,NA,305
New York City,OTHER,2019,2908,397,756,110,NA,193
Pennsylvania,EAST,2019,2740,513,8998,30,NA,NA
East North Central,OTHER,2019,9331,2557,3642,100,NA,573
Illinois,MIDWEST,2019,2541,407,395,40,NA,164
Indiana,MIDWEST,2019,1065,321,189,13,NA,31
Michigan,MIDWEST,2019,1651,415,413,19,NA,127
Ohio,MIDWEST,2019,2442,685,467,11,NA,142
Wisconsin,MIDWEST,2019,1632,729,2178,17,NA,109
West North Central,OTHER,2019,6593,1982,1941,42,NA,388
Iowa,MIDWEST,2019,1391,558,303,8,NA,121
Kansas,MIDWEST,2019,790,139,35,1,NA,23
Minnesota,MIDWEST,2019,1492,487,1528,18,NA,137
Missouri,MIDWEST,2019,1348,400,17,7,NA,61
Nebraska,MIDWEST,2019,811,193,10,7,NA,36
North Dakota,MIDWEST,2019,237,38,38,NA,NA,NA
South Dakota,MIDWEST,2019,524,167,10,1,NA,10
South Atlantic,OTHER,2019,11754,2194,4803,486,NA,1187
Delaware,EAST,2019,208,39,641,4,NA,5
District of Columbia,OTHER,2019,133,31,100,6,NA,37
Florida,SOUTHEAST,2019,4525,662,162,387,NA,543
Georgia,SOUTHEAST,2019,1380,364,18,5,NA,77
Maryland,EAST,2019,892,107,1417,25,NA,220
North Carolina,EAST,2019,1997,286,334,24,NA,76
South Carolina,SOUTHEAST,2019,553,111,47,9,NA,24
Virginia,EAST,2019,1641,520,1199,22,NA,201
West Virginia,EAST,2019,425,74,885,4,NA,4
East South Central,OTHER,2019,3403,937,137,17,NA,71
Alabama,SOUTHEAST,2019,750,225,66,3,NA,5
Kentucky,EAST,2019,1127,341,22,3,NA,NA
Mississippi,SOUTHEAST,2019,601,124,4,NA,NA,NA
Tennessee,EAST,2019,925,247,45,11,NA,66
West South Central,OTHER,2019,7959,1881,67,78,NA,1171
Arkansas,SOUTHEAST,2019,719,142,18,3,NA,34
Louisiana,SOUTHEAST,2019,871,355,8,4,NA,100
Oklahoma,SOUTHWEST,2019,1191,194,NA,1,NA,NA
Texas,SOUTHWEST,2019,5178,1190,41,70,NA,1037
Mountain,OTHER,2019,5525,967,88,72,NA,120
Arizona,SOUTHWEST,2019,1615,143,10,16,NA,17
Colorado,NORTHWEST,2019,1245,269,8,31,NA,58
Idaho,NORTHWEST,2019,551,131,14,1,NA,NA
Montana,NORTHWEST,2019,372,72,8,6,NA,2
Nevada,NORTHWEST,2019,237,50,17,7,NA,NA
New Mexico,SOUTHWEST,2019,688,83,7,NA,NA,16
Utah,NORTHWEST,2019,581,197,19,10,NA,22
Wyoming,NORTHWEST,2019,236,22,5,1,NA,5
Pacific,OTHER,2019,13319,1234,255,307,NA,72
Alaska,OTHER,2019,129,12,3,1,NA,NA
California,CALIFORNIA,2019,9790,727,144,260,NA,50
Hawaii,OTHER,2019,401,9,NA,14,NA,NA
Oregon,NORTHWEST,2019,1020,254,65,13,NA,5
Washington,NORTHWEST,2019,1979,232,43,19,NA,17
U.S. Territories,NA,2019,46,NA,NA,106,NA,NA
American Samoa,OTHER,2019,NA,NA,NA,NA,NA,NA
Commonwealth of Northern Mariana Islands,OTHER,2019,NA,NA,NA,2,NA,NA
Guam,OTHER,2019,13,NA,NA,22,NA,NA
Puerto Rico,OTHER,2019,33,NA,NA,79,NA,NA
U.S. Virgin Islands,OTHER,2019,NA,NA,NA,3,NA,NA
New York,EAST,2019,5396,883,4243,150,NA,498
