ReportingArea,Region,Year,Brucellosis,Campylobacteriosis,Chancroid,Chlamydia trachomatis infection,Cholera,Coccidioidomycosis,"Cryptosporidiosis, Total","Cryptosporidiosis, Confirmed","Cryptosporidiosis, Probable",Cyclosporiasis,"Dengue virus infections, Dengue","Dengue virus infections, Dengue-like illness","Dengue virus infections, Severe dengue",Diphtheria,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection","Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",Listeriosis,"Lyme disease, Total","Lyme disease, Confirmed","Lyme disease, Probable",Malaria,"Measles, Total","Measles, Indigenous","Measles, Imported","Candida auris, clinical",Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,"Listeriosis, Total","Listeriosis, Confirmed","Listeriosis, Probable"
Kentucky,EAST,2016,NA,779,NA,18286,NA,1,139,84,55,2,NA,1,NA,NA,1,43,1,1,3,33,16,17,13,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,SOUTHEAST,2016,1,268,NA,20112,NA,NA,47,47,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,6,1,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,EAST,2016,1,745,NA,32304,NA,NA,167,106,61,1,9,NA,NA,NA,12,89,NA,6,12,25,7,18,24,7,7,NA,NA,NA,NA,NA,NA
West South Central,OTHER,2016,53,6938,NA,212865,NA,15,1163,816,347,154,56,1,2,NA,18,279,6,1,47,80,35,45,183,1,NA,1,NA,NA,NA,NA,NA
Arkansas,SOUTHEAST,2016,3,528,NA,16737,NA,1,76,73,3,2,3,NA,NA,NA,14,200,4,NA,5,2,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,SOUTHEAST,2016,2,580,NA,31727,NA,14,129,48,81,4,6,NA,NA,NA,NA,3,NA,NA,4,7,4,3,12,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,SOUTHWEST,2016,5,1163,NA,21449,NA,NA,223,167,56,NA,5,NA,NA,NA,3,61,2,NA,4,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
Texas,SOUTHWEST,2016,43,4667,NA,142952,NA,NA,735,528,207,148,42,1,2,NA,1,15,NA,1,34,71,31,40,159,1,NA,1,NA,NA,NA,NA,NA
Mountain,OTHER,2016,7,4571,1,110079,1,6266,1219,825,394,16,53,1,1,NA,1,1,1,2,34,83,46,37,88,34,31,3,NA,NA,NA,NA,NA
Arizona,SOUTHWEST,2016,1,1241,NA,34923,NA,6101,549,405,144,4,13,NA,NA,NA,NA,NA,NA,2,6,13,8,5,38,31,31,NA,NA,NA,NA,NA,NA
Colorado,NORTHWEST,2016,NA,1101,1,25569,1,NA,206,128,78,8,20,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,25,2,NA,2,NA,NA,NA,NA,NA
Idaho,NORTHWEST,2016,3,456,NA,5897,NA,NA,123,105,18,NA,3,NA,NA,NA,NA,NA,NA,NA,3,17,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,NORTHWEST,2016,NA,373,NA,4416,NA,13,62,60,2,NA,2,NA,NA,NA,NA,1,1,NA,2,17,12,5,4,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,NORTHWEST,2016,2,208,NA,14649,NA,87,15,8,7,NA,4,1,1,NA,NA,NA,NA,NA,3,15,4,11,7,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,SOUTHWEST,2016,1,527,NA,13108,NA,24,74,66,8,1,5,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
Utah,NORTHWEST,2016,NA,502,NA,9457,NA,40,169,32,137,2,6,NA,NA,NA,NA,NA,NA,NA,4,19,12,7,8,1,NA,1,NA,NA,NA,NA,NA
Wyoming,NORTHWEST,2016,NA,163,NA,2060,NA,1,21,21,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Pacific,OTHER,2016,26,11991,2,259434,3,5370,907,573,334,27,279,7,1,NA,7,2,NA,1,168,241,123,118,191,25,22,3,NA,NA,NA,NA,NA
Alaska,OTHER,2016,2,117,NA,5698,NA,NA,10,5,5,2,4,NA,NA,NA,NA,NA,NA,NA,3,15,6,9,2,NA,NA,NA,NA,NA,NA,NA,NA
California,CALIFORNIA,2016,20,8465,2,198155,1,5358,429,400,29,21,197,NA,NA,NA,5,NA,NA,1,129,134,90,44,125,24,21,3,NA,NA,NA,NA,NA
Hawaii,OTHER,2016,3,508,NA,6902,2,NA,12,7,5,NA,54,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
Oregon,NORTHWEST,2016,1,990,NA,17425,NA,12,325,62,263,1,4,5,NA,NA,2,2,NA,NA,16,61,13,48,20,NA,NA,NA,NA,NA,NA,NA,NA
Washington,NORTHWEST,2016,NA,1911,NA,31254,NA,NA,131,99,32,3,20,2,1,NA,NA,NA,NA,NA,14,31,14,17,44,NA,NA,NA,NA,NA,NA,NA,NA
Territories,OTHER,2016,NA,52,NA,8703,NA,NA,1,1,NA,NA,131,87,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,OTHER,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
